id,企業名,company_id,査定依頼可能エリア,市区町村,city_id,店舗名,郵便番号,電話番号,FAX番号,営業時間,定休日,キャッチコピー,紹介文,以降住所,ieul_店舗id
1,Speee1不動産,1,"659,660,661,662",港区,708,品川支店,329-1224,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はSpeee1不動産にお任せください,Speee1不動産港区支店にお任せください！東京都の不動産売却の実績多数です。,品川2丁目,1
2,Speee1不動産,1,"659,660,661,662",港区,708,赤坂支店,329-1224,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はSpeee1不動産にお任せください,Speee1不動産港区支店にお任せください！東京都の不動産売却の実績多数です。,赤坂2丁目,2
3,Speee1不動産,1,"659,660,661,662",港区,708,六本木支店,329-1224,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はSpeee1不動産にお任せください,Speee1不動産港区支店にお任せください！東京都の不動産売却の実績多数です。,六本木3丁目,3
4,Speee2不動産,2,"669,670,671,672",渋谷区,669,渋谷区支店,329-1224,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はSpeee2不動産にお任せください,Speee2不動産渋谷区支店にお任せください！東京都の不動産売却の実績多数です。,渋谷2丁目,4
5,Speee2不動産,2,"666,667,668,669",目黒区,671,目黒区支店,329-1224,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はSpeee2不動産にお任せください,Speee2不動産目黒区支店にお任せください！東京都の不動産売却の実績多数です。,中目黒7丁目,5
6,Speee3不動産,3,"970,971,972,973",大垣市,994,大垣市支店,329-1224,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はSpeee3不動産にお任せください,Speee3不動産大垣市支店にお任せください！東京都の不動産売却の実績多数です。,大井２丁目,6
7,Speee3不動産,3,"189,190,191",青森市,221,青森市支店,329-1224,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はSpeee3不動産にお任せください,Speee3不動産青森市支店にお任せください！東京都の不動産売却の実績多数です。,青葉２丁目,7
8,Speee3不動産,3,"1194,1195,1196,1197",南丹市,1214,南丹市支店,329-1224,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はSpeee3不動産にお任せください,Speee3不動産南丹市支店にお任せください！東京都の不動産売却の実績多数です。,園部町天引向井田,8
9,Speee4不動産,4,"835,836,837,838",羽咋市,848,羽咋市支店,329-1224,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はSpeee4不動産にお任せください,Speee4不動産羽咋市支店にお任せください！東京都の不動産売却の実績多数です。,大町ニ,9
10,Speee4不動産,4,"549,550,551,552",上尾市,543,上尾市支店,329-1224,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はSpeee4不動産にお任せください,Speee4不動産上尾市支店にお任せください！東京都の不動産売却の実績多数です。,仲町１丁目,10
